#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
623029028548,623034308516,623034374971,623068672658,0,346
623029028548,623034308516,623035648502,623068672658,1,346
623062696142,623067476763,623067563035,623102408301,0,349
623062696142,623067476763,623068759842,623102408301,1,349
623095845013,623101385060,623101529421,623135099092,0,352
623095845013,623101385060,623102512927,623135099092,1,352
623129005133,623134259175,623134343634,623168128208,0,355
623129005133,623134259175,623135208407,623168128208,1,355
623162627615,623167374854,623167449123,623202110675,0,358
623162627615,623167374854,623168226082,623202110675,1,358
623195794823,623201073057,623201189415,623234955294,0,361
623195794823,623201073057,623202204451,623234955294,1,361
623228947079,623234114486,623234201429,623268315191,0,364
623228947079,623234114486,623235059810,623268315191,1,364
623262096716,623267407608,623267495132,623301884973,0,367
623262096716,623267407608,623268396083,623301884973,1,367
623295736259,623300969865,623301152047,623334848326,0,370
623295736259,623300969865,623301953512,623334848326,1,370
623328874543,623333979194,623334103507,623367813622,0,373
623328874543,623333979194,623334917395,623367813622,1,373
623362002714,623366955802,623367060338,623401272064,0,376
623362002714,623366955802,623367925532,623401272064,1,376
623395625193,623400416558,623400472022,623434738652,0,379
623395625193,623400416558,623401352575,623434738652,1,379
623428763479,623433846517,623433934372,623467564747,0,382
623428763479,623433846517,623434811258,623467564747,1,382
623461889139,623466840056,623466930045,623500923041,0,385
623461889139,623466840056,623467642002,623500923041,1,385
623494999252,623500114844,623500179395,623521793111,0,388
623494999252,623500114844,623501023690,623521793111,1,388
623528632845,623533375064,623533445336,623555862260,0,391
623528632845,623533375064,623534196015,623555862260,1,391
623561751163,623566642578,623566721476,623589210144,0,394
623561751163,623566642578,623567458209,623589210144,1,394
623594884124,623599963482,623600055094,623622581463,0,397
623594884124,623599963482,623600706046,623622581463,1,397
623628532063,623633271872,623633345611,623655884553,0,400
623628532063,623633271872,623634130023,623655884553,1,400
623661670047,623666797380,623666922034,623689214825,0,403
623661670047,623666797380,623667675539,623689214825,1,403
623694807855,623699889615,623699961029,623725078803,0,406
623694807855,623699889615,623700816465,623725078803,1,406
623727966480,623733109109,623733170424,623755856533,0,409
623727966480,623733109109,623733868434,623755856533,1,409
623761607740,623766388294,623766460791,623789182627,0,412
623761607740,623766388294,623767118966,623789182627,1,412
623794739811,623799705872,623799775042,623825594433,0,415
623794739811,623799705872,623800572800,623825594433,1,415
623827881103,623832967986,623833043838,623855861294,0,418
623827881103,623832967986,623833823712,623855861294,1,418
623861528305,623866214180,623866282959,623889193509,0,421
623861528305,623866214180,623866876493,623889193509,1,421
623894677229,623899539342,623899612569,623922529411,0,424
623894677229,623899539342,623900267448,623922529411,1,424
623927830640,623932839517,623932913235,623959042709,0,427
623927830640,623932839517,623933709590,623959042709,1,427
623960978003,623966125345,623966205335,623989213439,0,430
623960978003,623966125345,623967042246,623989213439,1,430
623994620889,623999417545,623999493718,624022525797,0,433
623994620889,623999417545,624000301885,624022525797,1,433
624027773204,624032669680,624032744380,624058818259,0,436
624027773204,624032669680,624033597311,624058818259,1,436
624060907302,624066070354,624066161134,624092008488,0,439
624060907302,624066070354,624067045364,624092008488,1,439
624094550805,624099372072,624099447794,624122513265,0,442
624094550805,624099372072,624100195848,624122513265,1,442
624127702459,624132615160,624132684931,624155897358,0,445
624127702459,624132615160,624133438455,624155897358,1,445
624160846619,624165857416,624165931125,624192069495,0,448
624160846619,624165857416,624166656807,624192069495,1,448
624194505861,624199188359,624199258681,624222537312,0,451
624194505861,624199188359,624199983371,624222537312,1,451
624227646491,624232493143,624232568474,624258870061,0,454
624227646491,624232493143,624233352496,624258870061,1,454
624260785726,624266143846,624266219919,624292269572,0,457
624260785726,624266143846,624266935612,624292269572,1,457
624293934592,624299031136,624299105455,624322519741,0,460
624293934592,624299031136,624299834193,624322519741,1,460
624327593037,624332277971,624332344786,624358895190,0,463
624327593037,624332277971,624333013552,624358895190,1,463
624360732739,624365610938,624365672964,624389209800,0,466
624360732739,624365610938,624366470652,624389209800,1,466
624393861688,624398952380,624399044984,624425609003,0,469
624393861688,624398952380,624399908385,624425609003,1,469
624427505582,624432155673,624432220705,624455854293,0,472
624427505582,624432155673,624432996422,624455854293,1,472
624460662836,624465475686,624465539656,624492284034,0,475
624460662836,624465475686,624466282420,624492284034,1,475
624493795896,624498869947,624498945289,624514623362,0,478
624493795896,624498869947,624499613633,624514623362,1,478
624526947958,624532054986,624532110571,624547997465,0,481
624526947958,624532054986,624532900454,624547997465,1,481
624560602293,624565497439,624565583861,624589225874,0,484
624560602293,624565497439,624566492527,624589225874,1,484
624593742672,624598694139,624598769962,624614604849,0,487
624593742672,624598694139,624599570655,624614604849,1,487
624626890496,624631899126,624631975329,624647983010,0,490
624626890496,624631899126,624632660285,624647983010,1,490
624660556068,624665399276,624665504765,624681403201,0,493
624660556068,624665399276,624666460499,624681403201,1,493
624693672078,624698588463,624698648005,624714710139,0,496
624693672078,624698588463,624699503661,624714710139,1,496
624726805864,624731760999,624731810652,624755847086,0,499
624726805864,624731760999,624732587490,624755847086,1,499
624759959032,624765511028,624765658906,624792115083,0,502
624759959032,624765511028,624766532396,624792115083,1,502
624793596755,624798373071,624798511390,624822512148,0,505
624793596755,624798373071,624799194423,624822512148,1,505
624826748512,624831902506,624831969162,624858778131,0,508
624826748512,624831902506,624832758363,624858778131,1,508
