#display_time,wait_frame,begin_frame,locate_views,predict_filter,present,frame_id
690983360073,690958717325,690968935476,690969064759,690969034833,690969635548,6061
690994494662,690969840993,690980048174,690980184249,690980153361,690980742726,6062
691005605526,690980946949,690991224832,690991359314,690991328887,690991861014,6063
691016712704,690992078902,691002317061,691002528557,691002491268,691003124865,6064
691027823568,691003351440,691013490663,691013604677,691013578507,691014131835,6065
691038917731,691014313565,691024581109,691024717755,691024686246,691025236688,6066
691050028595,691025440750,691035779858,691035937333,691035894202,691036485120,6067
691061142255,691036699271,691046871857,691047049389,691046990820,691047774589,6068
691072276052,691048092344,691057959417,691058154493,691058117143,691058738197,6069
691083398067,691058979179,691069058500,691069338705,691069288260,691069899385,6070
691094508931,691070072801,691080213687,691080376262,691080340194,691080989852,6071
691105575292,691081279905,691091203945,691091339760,691091310104,691091831882,6072
691116686156,691092042316,691102360054,691102505687,691102469219,691103088700,6073
691127838599,691103301018,691113480927,691113642610,691113607895,691114232255,6074
691138949463,691114436468,691124572145,691124708230,691124679586,691125258361,6075
691150052493,691125500875,691135676958,691135922879,691135885498,691136447582,6076
691161163357,691136687251,691146823519,691146978189,691146944295,691147614591,6077
691172241420,691147906819,691157883327,691158036745,691157994215,691158733922,6078
691183419370,691159021320,691168945791,691169192674,691169152388,691169892786,6079
691194530234,691170097870,691179959673,691180121487,691180079668,691180796422,6080
691205601103,691181060777,691190948990,691191084143,691191048446,691191615419,6081
691216711967,691191816736,691202177424,691202329179,691202288933,691202937970,6082
691227807102,691203184692,691213196306,691213353691,691213314308,691213897761,6083
691238917966,691214092426,691224386519,691224516052,691224486907,691225077785,6084
691250029913,691225351448,691235496702,691235703510,691235662473,691236317280,6085
691261140777,691236556919,691246683739,691246826647,691246794066,691247464553,6086
691272235752,691247733176,691257726255,691257855939,691257825772,691258380822,6087
691283346616,691258584935,691268920226,691269184651,691269127554,691269714775,6088
691294506031,691269949825,691280075162,691280253657,691280216287,691280871134,6089
691305616895,691281108830,691291218588,691291356647,691291317513,691291975166,6090
691316725666,691292239371,691302242349,691302460668,691302418980,691303013965,6091
691327836530,691303207107,691313433383,691313598924,691313554711,691314205220,6092
691338902530,691314421756,691324446414,691324578622,691324544879,691325109908,6093
691350013394,691325282271,691335632670,691335773744,691335738067,691336313295,6094
691361128968,691336501558,691346715612,691346855053,691346824967,691347436152,6095
691372239832,691347647558,691357907197,691358086814,691358047049,691358733566,6096
691383343633,691359041553,691368994858,691369209410,691369176298,691369888192,6097
691394454497,691370232287,691380179681,691380361201,691380319473,691381243304,6098
691405630143,691381580847,691391288481,691391428824,691391399810,691391927319,6099
691416741007,691392179341,691402347809,691402492119,691402457475,691403136858,6100
691427865988,691403405622,691413525358,691413696729,691413660311,691414362477,6101
691438976852,691414574024,691424645821,691424772087,691424743023,691425393562,6102
691450065425,691425645454,691435742378,691436042260,691435973491,691436650750,6103
691461176289,691436861616,691446958299,691447168834,691447130101,691449212604,6104
691472247048,691449433909,691457882013,691458030281,691457989684,691458565544,6105
691483357912,691458757013,691468637361,691468803332,691468765230,691469461886,6106
691494467875,691469710592,691479871526,691480020014,691479977845,691480589942,6107
691505578739,691480785078,691491109589,691491254650,691491221518,691491852150,6108
691516681769,691492122788,691502263043,691502495168,691502452919,691503061650,6109
691527792633,691503282283,691513505373,691513687505,691513646358,691514394820,6110
691538893528,691514627086,691524626988,691524786897,691524749928,691525371754,6111
691550004392,691525570707,691535724567,691535879337,691535843410,691536504589,6112
691561119535,691536725523,691546802620,691546969182,691546929878,691547656330,6113
691572230399,691547857687,691558027037,691558161890,691558128076,691558860659,6114
691583356292,691559154210,691569104208,691569307479,691569275519,691569958299,6115
691594467156,691570181307,691580294491,691580473577,691580428202,691581258528,6116
691605573402,691581595249,691591335985,691591486858,691591444369,691592198201,6117
691616684266,691592437229,691602486224,691602602331,691602574289,691603323844,6118
691627802945,691603619027,691613594112,691613770743,691613722914,691614515178,6119
691638913809,691614731774,691624744791,691624893640,691624855699,691625638697,6120
691650017831,691625902511,691635712086,691635831831,691635803277,691636506736,6121
691661171014,691636797661,691646777616,691646935702,691646898763,691647720523,6122
691672281878,691647917322,691657782241,691658016770,691657964562,691658815367,6123
691683339944,691659060937,691668580589,691668823595,691668776567,691669596834,6124
691694450808,691669842204,691679482101,691679655266,691679616283,691680483979,6125
691705569006,691680803287,691690057312,691690216961,691690181725,691690827946,6126
691716679870,691691063648,691700935580,691701078578,691701045806,691701730450,6127
691727809700,691701971221,691712152142,691712274181,691712247020,691712826266,6128
691738920564,691712991435,691723455097,691723614926,691723578047,691724334916,6129
691750009277,691724593510,691734691486,691734937557,691734894677,691735556066,6130
691761120141,691735769146,691746143139,691746374523,691746310443,691747290029,6131
691772228711,691747619837,691757361234,691757551842,691757508641,691758306606,6132
691783339575,691758575640,691768546748,691768786878,691768748757,691769361626,6133
691794475276,691769628085,691779765034,691779930314,691779888505,691780655042,6134
691805586140,691780977607,691791041519,691791186270,691791153248,691791743014,6135
691816708166,691791970019,691802203288,691802403153,691802370632,691802925302,6136
691827819030,691803151405,691813488099,691813640865,691813606811,691814380752,6137
691838893186,691814634648,691824531657,691824662572,691824632546,691825176315,6138
691850004050,691825369146,691835760071,691835916705,691835882471,691836581270,6139
691861135673,691836831970,691846938953,691847078725,691847046735,691847594542,6140
691872246537,691847820966,691858155946,691858288665,691858256876,691858816134,6141
691883349367,691859097321,691869307637,691869592090,691869548328,691870273738,6142
691894460231,691870464415,691880535982,691880679671,691880646609,691881304742,6143
691905565735,691881566283,691891556106,691891707850,691891676902,691892301663,6144
691916692149,691892496498,691902645951,691902789690,691902758211,691903345001,6145
691927795769,691903547731,691913777293,691913970746,691913928346,691914669886,6146
691938912665,691914945222,691924827314,691924958219,691924928593,691925468245,6147
691950055860,691925666026,691935957153,691936192665,691936157088,691936713852,6148
691961166724,691936903427,691947193463,691947350467,691947309951,691948012678,6149
691972229919,691948336184,691958259854,691958386792,691958355793,691958912116,6150
691983340783,691959103435,691969405794,691969528093,691969498928,691970059148,6151
691994462868,691970256198,691980598852,691980722654,691980694982,691981265231,6152
692005573732,691981465296,691991827136,691991961208,691991932484,691992497342,6153
692016668056,691992674625,692002855787,692003050421,692003009635,692003547894,6154
692027778920,692003733441,692013934901,692014086696,692014052582,692014647286,6155
692038880998,692014816804,692025012273,692025149099,692025117941,692025659967,6156
692049991862,692025854802,692036071510,692036211012,692036179523,692036711460,6157
692061102857,692036909130,692047192323,692047339098,692047309763,692047831762,6158
692072213721,692048059388,692058412242,692058549038,692058516768,692059133624,6159
692083354281,692059347956,692069563592,692069757435,692069727008,692070235271,6160
692094465145,692070424987,692080772951,692080971763,692080930396,692081666025,6161
692105548979,692081892008,692091834543,692091988341,692091955640,692092520859,6162
692116659843,692092706257,692102856801,692102987776,692102959534,692103547496,6163
692127801896,692103730288,692113925176,692114071811,692114038448,692114677405,6164
692138912760,692114867862,692124952413,692125076496,692125039035,692125630805,6165
692150030467,692125807145,692136041797,692136176981,692136146694,692136726150,6166
692161136322,692136887863,692147063054,692147206522,692147173330,692147725355,6167
692172247186,692147876578,692158192553,692158321725,692158292931,692158828935,6168
692183321652,692159029792,692169253994,692169391682,692169360754,692169983722,6169
692194434170,692170223341,692180385978,692180582547,692180523686,692181283821,6170
692205545034,692181536274,692191579698,692191714230,692191683843,692192218415,6171
692216659004,692192411266,692202680102,692202897149,692202866642,692203380495,6172
692227769868,692203569459,692213891455,692214029925,692213995270,692214558335,6173
692238892545,692214776865,692225038116,692225174893,692225145718,692225717710,6174
692250003409,692225909339,692236234561,692236374313,692236343826,692236908033,6175
692261125314,692237082520,692247272479,692247411179,692247378728,692247917037,6176
692272236178,692248080533,692258353878,692258482599,692258452452,692258970493,6177
692283348806,692259172762,692269430377,692269579657,692269548479,692270095745,6178
692294459670,692270307061,692280543446,692280696232,692280662900,692281400963,6179
692305557310,692281695535,692291610989,692291744810,692291715926,692292293238,6180
692316668174,692292495397,692302779401,692302925264,692302891291,692303509479,6181
692327780491,692303734982,692313908279,692314054553,692314025569,692314567595,6182
692338891355,692314769934,692325062615,692325197628,692325166490,692325747869,6183
692350019001,692325979564,692336248049,692336455648,692336423317,692336979720,6184
692361129865,692337179765,692347438633,692347604724,692347569448,692348241547,6185
692372222595,692348456330,692358410126,692358546772,692358515934,692359223069,6186
692383333459,692359415139,692369453844,692369615457,692369584479,692370343401,6187
692394437792,692370532856,692380516899,692380669525,692380634579,692381333720,6188
692405551632,692381544555,692391572309,692391702393,692391673429,692392280556,6189
692416667826,692392467056,692402654600,692402804060,692402770768,692403461602,6190
692427771867,692403669792,692413773509,692413928770,692413893865,692414564101,6191
692438908330,692414800744,692424835372,692424971717,692424941470,692425549630,6192
692450007312,692425793728,692435930035,692436187017,692436148395,692436714866,6193
692461118176,692436914821,692447145546,692447305325,692447267905,692448028911,6194
692472200156,692448360323,692458227346,692458379421,692458345818,692458948227,6195
692483311020,692459154083,692469405266,692469523958,692469498981,692470085130,6196
692494436452,692470288301,692480587624,692480726294,692480694975,692481299959,6197
692505547316,692481468124,692491651570,692491774040,692491745616,692492321826,6198
692516647761,692492498107,692502774046,692502962489,692502920901,692503551714,6199
692527770688,692503727253,692513872618,692514068004,692514025614,692514652118,6200
692538879799,692514864026,692524924591,692525070194,692525038074,692525609735,6201
692549997075,692525815341,692536036928,692536180327,692536148988,692536834724,6202
692561094103,692537096484,692547181576,692547352576,692547315297,692547950567,6203
692572204967,692548187912,692558361289,692558505520,692558473770,692559055901,6204
692583312495,692559285221,692569444261,692569717083,692569677168,692570449575,6205
692594423359,692570634322,692580707441,692580856380,692580824060,692581524673,6206
692605555955,692581702736,692591694373,692591841148,692591809088,692592369919,6207
692616666819,692592641167,692602758089,692602903662,692602871031,692603484520,6208
692627782552,692603696468,692613808690,692613958862,692613927473,692614498002,6209
692638893416,692614697426,692624893776,692625082039,692625038888,692625611682,6210
692650002958,692625778003,692635974253,692636217840,692636188124,692636715232,6211
692661113822,692636863119,692647062706,692647214019,692647180306,692647760534,6212
692672219237,692647922427,692658166176,692658296881,692658267125,692658785106,6213
692683339629,692658955175,692669298060,692669461626,692669426310,692670056982,6214
