#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7469054599194,7469058769401,7469058948777,7469086974316,1,119
7469087888494,7469089938820,7469092073358,7469120343086,0,120
7469087888494,7469092072116,7469092261651,7469120343086,1,120
7469121178694,7469123736873,7469125730297,7469177673943,0,121
7469121178694,7469125729125,7469125920333,7469177673943,1,121
7469154469294,7469169390576,7469177020118,7469218888199,0,122
7469154469294,7469177017403,7469177837840,7469218888199,1,122
7469187756594,7469192267952,7469196387569,7469235683832,0,123
7469187756594,7469196386116,7469196791726,7469235683832,1,123
7469221046894,7469223812173,7469226441118,7469252543175,0,124
7469221046894,7469226438293,7469226693741,7469252543175,1,124
7469254337494,7469256728395,7469258940859,7469286219089,0,125
7469254337494,7469258939917,7469259146865,7469286219089,1,125
7469287628494,7469289940661,7469291853224,7469319852013,0,126
7469287628494,7469291851500,7469292050182,7469319852013,1,126
7469320915094,7469323180439,7469325536512,7469353275215,0,127
7469320915094,7469325534358,7469325729714,7469353275215,1,127
7469354203194,7469356508371,7469358760140,7469386780810,0,128
7469354203194,7469358759088,7469358945968,7469386780810,1,128
7469387502394,7469390109205,7469392286043,7469420287428,0,129
7469387502394,7469392285141,7469392473003,7469420287428,1,129
7469420783694,7469423266979,7469425481838,7469453371764,0,130
7469420783694,7469425480716,7469425665362,7469453371764,1,130
7469454071994,7469456385540,7469458401907,7469486848646,0,131
7469454071994,7469458400535,7469458623452,7469486848646,1,131
7469487367794,7469489733200,7469491678023,7469520268391,0,132
7469487367794,7469491677201,7469491855596,7469520268391,1,132
7469520653194,7469523186878,7469525138674,7469553636168,0,133
7469520653194,7469525137723,7469525316828,7469553636168,1,133
7469553939694,7469556232091,7469558434116,7469586970874,0,134
7469553939694,7469558433094,7469558652896,7469586970874,1,134
7469587236294,7469589808049,7469591867837,7469620258521,0,135
7469587236294,7469591867016,7469592057392,7469620258521,1,135
7469620519794,7469622872969,7469624893444,7469653675982,0,136
7469620519794,7469624892612,7469625093439,7469653675982,1,136
7469653807894,7469656268408,7469658131268,7469686915419,0,137
7469653807894,7469658129965,7469658330641,7469686915419,1,137
7469687098394,7469689246786,7469691211356,7469736981888,0,138
7469687098394,7469691210495,7469691393698,7469736981888,1,138
7469720403594,7469733855722,7469741566606,7469785517970,0,139
7469720403594,7469741563601,7469742254295,7469785517970,1,139
7469753676794,7469758087775,7469762020983,7469802377523,0,140
7469753676794,7469762019420,7469762902064,7469802377523,1,140
7469786966494,7469789602581,7469792346822,7469819186210,0,141
7469786966494,7469792345510,7469792639140,7469819186210,1,141
7469820255194,7469822640862,7469824497910,7469852905286,0,142
7469820255194,7469824496688,7469824681925,7469852905286,1,142
7469853545394,7469855836136,7469857782562,7469886423505,0,143
7469853545394,7469857781781,7469857957119,7469886423505,1,143
7469886833494,7469889220865,7469891108181,7469920173689,0,144
7469886833494,7469891107379,7469891282327,7469920173689,1,144
7469920122994,7469922411661,7469924334633,7469953469121,0,145
7469920122994,7469924333862,7469924509481,7469953469121,1,145
7469953413294,7469955826457,7469957801677,7469986855313,0,146
7469953413294,7469957800815,7469957976504,7469986855313,1,146
7469986737294,7469989300112,7469991520832,7470020369284,0,147
7469986737294,7469991519710,7469991708103,7470020369284,1,147
7470019993894,7470022313696,7470024581344,7470083388267,0,148
7470019993894,7470024579140,7470024804252,7470083388267,1,148
