#sampled,frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received,consumer_state_pushed,vit_consumer_pose_received,received_by_monado
7466391448094,7466391448094,36356935170330,36356935512451,36356935512711,36356935539341,36356935588273,36356936372532,36356941806752,36356941812803,36356942643630,36356943802150,36356945046521,36356945063493,36356945063883,36356945078741,36356945193316,36356945508375,36356946232350,36356946268057,36356946348477,36356946597747,36356946674891,36356946679510,36356946703976,36356946705549,36356956141615,36356956229820
7466424737994,7466424737994,36356968248886,36356968591087,36356968591357,36356968619139,36356968665195,36356969420260,36356974880328,36356974889776,36356975624262,36356976644984,36356977926374,36356977937134,36356977937405,36356977955459,36356978088959,36356978418757,36356979187056,36356979233274,36356979316370,36356979608816,36356979691491,36356979695518,36356979720796,36356979722509,36356989414675,36356989480418
7466458034094,7466458034094,36357001378908,36357001720968,36357001721139,36357001746246,36357001794797,36357002538280,36357008134363,36357008142327,36357008788348,36357009919056,36357011338465,36357011347552,36357011347712,36357011362560,36357011465643,36357011801561,36357012547157,36357012612600,36357012697409,36357012984869,36357013078695,36357013083804,36357013111035,36357013113951,36357022911144,36357022978770
7466491318694,7466491318694,36357034764208,36357035114724,36357035114875,36357035141935,36357035191388,36357035904203,36357042196701,36357042204406,36357042943560,36357044122248,36357045592973,36357045603904,36357045604094,36357045619303,36357046082440,36357046853725,36357048696658,36357048798559,36357048964008,36357049489973,36357049584280,36357049592295,36357049618985,36357049621530,36357056270075,36357056340036
7466524605794,7466524605794,36357067958981,36357068391952,36357068392123,36357068419013,36357068468566,36357069200717,36357075619321,36357075626465,36357076383543,36357077469467,36357079128435,36357079138113,36357079138504,36357079153652,36357079271162,36357080019585,36357081785812,36357081896551,36357082068622,36357082430120,36357082546097,36357082554483,36357082569872,36357082572296,36357089280793,36357089330727
7466557902394,7466557902394,36357100950504,36357101315017,36357101315207,36357101331037,36357101375430,36357102077555,36357108055293,36357108066374,36357108788357,36357109861757,36357111670546,36357111687287,36357111687668,36357111708086,36357111852396,36357112517854,36357114239247,36357114365627,36357114557517,36357114954638,36357115089661,36357115096764,36357115125718,36357115127672,36357123200725,36357123284322
7466591185594,7466591185594,36357134485124,36357135337581,36357135337731,36357135362608,36357135403154,36357136104197,36357142351640,36357142356549,36357142983013,36357143856008,36357145392907,36357145402605,36357145402946,36357145419677,36357145553308,36357146340494,36357148386145,36357148567385,36357148783049,36357149207062,36357149338308,36357149356793,36357149383603,36357149385727,36357156170908,36357156238374
7466624474194,7466624474194,36357167999817,36357168350854,36357168351045,36357168375841,36357168423691,36357169208671,36357176141568,36357176149103,36357176859363,36357177860288,36357179549853,36357179559120,36357179559431,36357179577936,36357179707679,36357180419602,36357182200690,36357182336365,36357182502837,36357182822664,36357182919515,36357182927420,36357182952638,36357182954852,36357189208016,36357189256156
7466657770694,7466657770694,36357201075697,36357201420944,36357201421064,36357201452263,36357201502687,36357202223067,36357208808814,36357208814825,36357209432752,36357210443205,36357212082346,36357212090481,36357212090611,36357212103656,36357212219904,36357212769073,36357214706604,36357214818031,36357215026521,36357215402004,36357215521849,36357215531227,36357215555923,36357215558999,36357223152914,36357223248112
7466691054094,7466691054094,36357234282323,36357234625846,36357234626007,36357234652847,36357234697982,36357235384377,36357241940409,36357241948875,36357242728224,36357243886424,36357245677860,36357245695533,36357245695924,36357245717194,36357245860161,36357246699195,36357248408538,36357248543778,36357248702637,36357249051780,36357249169671,36357249177756,36357249190781,36357249192654,36357256209168,36357256258030
