#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
1073218554640,1073223433049,1073224100002,1073239730046,1,469
1073251679430,1073256784694,1073256851860,1073273194963,0,472
1073251679430,1073256784694,1073257394920,1073273194963,1,472
1073285322192,1073289987389,1073290056629,1073306457701,0,475
1073285322192,1073289987389,1073290619175,1073306457701,1,475
1073318465584,1073323379330,1073323437209,1073339760664,0,478
1073318465584,1073323379330,1073323968726,1073339760664,1,478
1073351616404,1073356645144,1073356703263,1073373058027,0,481
1073351616404,1073356645144,1073357304662,1073373058027,1,481
1073385264710,1073389845945,1073389917830,1073406461820,0,484
1073385264710,1073389845945,1073390468754,1073406461820,1,484
1073418413039,1073423220012,1073423288501,1073446934915,0,487
1073418413039,1073423220012,1073423862779,1073446934915,1,487
1073451554042,1073456499341,1073456572128,1073484211007,0,490
1073451554042,1073456499341,1073457175801,1073484211007,1,490
1073484689535,1073489790793,1073489854843,1073513595334,0,493
1073484689535,1073489790793,1073490458406,1073513595334,1,493
1073518328934,1073523093035,1073523157676,1073546923685,0,496
1073518328934,1073523093035,1073523751852,1073546923685,1,496
1073551477528,1073556602156,1073556697454,1073580265261,0,499
1073551477528,1073556602156,1073557241576,1073580265261,1,499
1073584607316,1073589615555,1073589682782,1073606333612,0,502
1073584607316,1073589615555,1073590287827,1073606333612,1,502
1073618259952,1073622946752,1073623027293,1073639866387,0,505
1073618259952,1073622946752,1073623626889,1073639866387,1,505
1073651414546,1073656240458,1073656305750,1073673055206,0,508
1073651414546,1073656240458,1073656904625,1073673055206,1,508
1073684565683,1073689563900,1073689631126,1073706457125,0,511
1073684565683,1073689563900,1073690195746,1073706457125,1,511
1073717721138,1073722901729,1073723124978,1073746953153,0,514
1073717721138,1073722901729,1073723676353,1073746953153,1,514
1073751364767,1073756110034,1073756187931,1073773100663,0,517
1073751364767,1073756110034,1073756782717,1073773100663,1,517
1073784512500,1073789502546,1073789578889,1073813625565,0,520
1073784512500,1073789502546,1073790128742,1073813625565,1,520
1073817657346,1073822797023,1073822912400,1073839773615,0,523
1073817657346,1073822797023,1073823469576,1073839773615,1,523
1073851284667,1073855979691,1073856122449,1073880291214,0,526
1073851284667,1073855979691,1073856625534,1073880291214,1,526
1073884418408,1073889211671,1073889300348,1073913596862,0,529
1073884418408,1073889211671,1073889913529,1073913596862,1,529
1073917561936,1073922524563,1073922588724,1073946918290,0,532
1073917561936,1073922524563,1073923192888,1073946918290,1,532
1073950701897,1073955851011,1073955953553,1073980245549,0,535
1073950701897,1073955851011,1073956567516,1073980245549,1,535
1073984341881,1073989118918,1073989186616,1074006482928,0,538
1073984341881,1073989118918,1073989744763,1074006482928,1,538
1074017499001,1074022531878,1074022632688,1074039754943,0,541
1074017499001,1074022531878,1074023250728,1074039754943,1,541
1074050642310,1074055735445,1074055845101,1074073100166,0,544
1074050642310,1074055735445,1074056460186,1074073100166,1,544
1074084276186,1074089126845,1074089211504,1074106239121,0,547
1074084276186,1074089126845,1074089815417,1074106239121,1,547
1074117425528,1074122322817,1074122395975,1074150714420,0,550
1074117425528,1074122322817,1074122977566,1074150714420,1,550
1074150583214,1074155743071,1074155848920,1074180290276,0,553
1074150583214,1074155743071,1074156342106,1074180290276,1,553
1074184218284,1074188862109,1074188958099,1074213606304,0,556
1074184218284,1074188862109,1074189575348,1074213606304,1,556
1074217367235,1074222199627,1074222308772,1074239667331,0,559
1074217367235,1074222199627,1074222906434,1074239667331,1,559
1074250526214,1074255617677,1074255709890,1074272930230,0,562
1074250526214,1074255617677,1074256282395,1074272930230,1,562
1074283661611,1074288737887,1074288839658,1074306357346,0,565
1074283661611,1074288737887,1074289403206,1074306357346,1,565
1074317304238,1074322114148,1074322200851,1074339691879,0,568
1074317304238,1074322114148,1074322809784,1074339691879,1,568
1074350448737,1074355395611,1074355537748,1074384093619,0,571
1074350448737,1074355395611,1074356093241,1074384093619,1,571
1074383579413,1074388588298,1074388723532,1074413587381,0,574
1074383579413,1074388588298,1074389283383,1074413587381,1,574
1074417220396,1074421982072,1074422107277,1074439760429,0,577
1074417220396,1074421982072,1074422652630,1074439760429,1,577
1074450364853,1074455216246,1074455321053,1074472996878,0,580
1074450364853,1074455216246,1074455871326,1074472996878,1,580
1074483522485,1074488534408,1074488632712,1074506393417,0,583
1074483522485,1074488534408,1074489272834,1074506393417,1,583
1074516670853,1074521887115,1074521977244,1074539676102,0,586
1074516670853,1074521887115,1074522588161,1074539676102,1,586
1074550310974,1074555216938,1074555311516,1074573094462,0,589
1074550310974,1074555216938,1074555874814,1074573094462,1,589
1074583458190,1074588376272,1074588459719,1074606251021,0,592
1074583458190,1074588376272,1074589006405,1074606251021,1,592
1074616614177,1074621922212,1074622015257,1074639645746,0,595
1074616614177,1074621922212,1074622612758,1074639645746,1,595
1074650269271,1074655124326,1074655219515,1074672920677,0,598
1074650269271,1074655124326,1074655824300,1074672920677,1,598
1074683410534,1074688163444,1074688244136,1074706300825,0,601
1074683410534,1074688163444,1074688843511,1074706300825,1,601
1074716559183,1074721528334,1074721610749,1074739646188,0,604
1074716559183,1074721528334,1074722193773,1074739646188,1,604
1074749709143,1074754739525,1074754826458,1074772861317,0,607
